pilot_id,case_id,study_phase,evidence_role,confirmation_eligible,method_key,representation_key,representation,scorer,hypothesis,representation_seed,scorer_seed,status,error
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,random_baseline::score_seed=42,random_score,random_score,random,,,42.0,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,raw_session_knn::Process Resource Consumption Profile,raw_session::Process Resource Consumption Profile,raw_session,knn_mean_distance,Process Resource Consumption Profile,,,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,raw_session_isolation_forest::Process Resource Consumption Profile::score_seed=42,raw_session::Process Resource Consumption Profile,raw_session,isolation_forest,Process Resource Consumption Profile,,42.0,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,raw_session_rare_cluster::Process Resource Consumption Profile,raw_session::Process Resource Consumption Profile,raw_session,hdbscan_rare_cluster,Process Resource Consumption Profile,,,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,typed_structural_stats_knn,typed_structural_stats,typed_structural_stats,knn_mean_distance,,,,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,typed_structural_stats_isolation_forest::score_seed=42,typed_structural_stats,typed_structural_stats,isolation_forest,,,42.0,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,typed_structural_stats_rare_cluster,typed_structural_stats,typed_structural_stats,hdbscan_rare_cluster,,,,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,node2vec_knn::rep_seed=42,node2vec::rep_seed=42,node2vec,knn_mean_distance,,42.0,,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,node2vec_isolation_forest::rep_seed=42,node2vec::rep_seed=42,node2vec,isolation_forest,,42.0,42.0,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,node2vec_rare_cluster::rep_seed=42,node2vec::rep_seed=42,node2vec,hdbscan_rare_cluster,,42.0,,abstained,No clearly dominant reference population under the fixed ratio.
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,graphsage_random_knn::Process Resource Consumption Profile::rep_seed=42,graphsage_random::Process Resource Consumption Profile::rep_seed=42,graphsage_random,knn_mean_distance,Process Resource Consumption Profile,42.0,,completed,
phase2_pilot_001,acme_dev_head_1000_repro_a,phase2_pilot,correctness_feasibility_only,False,graphsage_random_isolation_forest::Process Resource Consumption Profile::rep_seed=42,graphsage_random::Process Resource Consumption Profile::rep_seed=42,graphsage_random,isolation_forest,Process Resource Consumption Profile,42.0,42.0,completed,
