dataset_id,partition_id,config_id,score_kind,representation,scorer,hypothesis,outcome,median_average_precision,median_recall_at_100,median_precision_at_100,prevalence,precision_lift_at_100,median_top100_jaccard,stochastic,reviews_to_first_malicious,runtime_seconds,random_inference_pass,utility_pass,stability_pass,graph_control_pass,matched_vs_intrinsic_pass,reason
acme_process_telemetry,acme_selection,intrinsic|observed|dominant_style_trained|dominant_joint_reconstruction|Local State Modification and Data Access,intrinsic,dominant_style_trained,dominant_joint_reconstruction,Local State Modification and Data Access,Explore,0.010264831648567176,0.0,0.0,0.0036407766990291263,0.0,0.6666666666666666,True,134.0,,False,False,True,False,True,random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence; graph control did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|dominant_style_trained|dominant_joint_reconstruction|Process Resource Consumption Profile,intrinsic,dominant_style_trained,dominant_joint_reconstruction,Process Resource Consumption Profile,Explore,0.02013039737126291,0.3333333333333333,0.01,0.0036407766990291263,2.7466666666666666,0.3986013986013986,True,30.0,,False,True,False,False,True,random comparison did not pass adjusted inference; median top-100 Jaccard is below 0.50; graph control did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|dominant_style_trained|dominant_joint_reconstruction|TCP Communication Volume and Directionality,intrinsic,dominant_style_trained,dominant_joint_reconstruction,TCP Communication Volume and Directionality,Explore,0.01374140732408449,0.0,0.0,0.0036407766990291263,0.0,0.9607843137254902,True,120.0,,False,False,True,False,True,random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence; graph control did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|graphsage_trained|hdbscan_rare_cluster|Local State Modification and Data Access,intrinsic,graphsage_trained,hdbscan_rare_cluster,Local State Modification and Data Access,Explore,0.03084322186263934,0.6666666666666666,0.02,0.0036407766990291263,5.493333333333333,0.7241379310344828,True,37.0,0.45766800004639663,False,True,True,False,True,random comparison did not pass adjusted inference; No predeclared trained-versus-random comparison for this scorer.
acme_process_telemetry,acme_selection,intrinsic|observed|graphsage_trained|hdbscan_rare_cluster|Process Resource Consumption Profile,intrinsic,graphsage_trained,hdbscan_rare_cluster,Process Resource Consumption Profile,Abstain,0.0036407766990291263,0.0,0.0,0.0036407766990291263,0.0,0.3793103448275862,True,414.0,0.49294619995635003,False,False,False,False,True,random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence; median top-100 Jaccard is below 0.50; No predeclared trained-versus-random comparison for this scorer.
acme_process_telemetry,acme_selection,intrinsic|observed|graphsage_trained|hdbscan_rare_cluster|TCP Communication Volume and Directionality,intrinsic,graphsage_trained,hdbscan_rare_cluster,TCP Communication Volume and Directionality,Abstain,,,,0.0036407766990291263,,,True,,,False,False,False,False,True,valid abstention; random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence; median top-100 Jaccard is below 0.50; No predeclared trained-versus-random comparison for this scorer.
acme_process_telemetry,acme_selection,intrinsic|observed|graphsage_trained|isolation_forest|Local State Modification and Data Access,intrinsic,graphsage_trained,isolation_forest,Local State Modification and Data Access,Explore,0.0415990428630878,0.6666666666666666,0.02,0.0036407766990291263,5.493333333333333,0.6528925619834711,True,18.0,1.141708999988623,False,True,True,False,True,random comparison did not pass adjusted inference; No predeclared trained-versus-random comparison for this scorer.
acme_process_telemetry,acme_selection,intrinsic|observed|graphsage_trained|isolation_forest|Process Resource Consumption Profile,intrinsic,graphsage_trained,isolation_forest,Process Resource Consumption Profile,Explore,0.015205942313500451,0.6666666666666666,0.02,0.0036407766990291263,5.493333333333333,0.7543859649122807,True,70.0,1.148726599989459,False,True,True,False,True,random comparison did not pass adjusted inference; No predeclared trained-versus-random comparison for this scorer.
acme_process_telemetry,acme_selection,intrinsic|observed|graphsage_trained|isolation_forest|TCP Communication Volume and Directionality,intrinsic,graphsage_trained,isolation_forest,TCP Communication Volume and Directionality,Explore,0.015594798805130908,0.0,0.0,0.0036407766990291263,0.0,0.8867924528301887,True,106.0,1.0882298999931663,False,False,True,False,True,random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence; No predeclared trained-versus-random comparison for this scorer.
acme_process_telemetry,acme_selection,intrinsic|observed|graphsage_trained|knn_mean_distance|Local State Modification and Data Access,intrinsic,graphsage_trained,knn_mean_distance,Local State Modification and Data Access,Explore,0.0164901400131556,0.6666666666666666,0.02,0.0036407766990291263,5.493333333333333,0.6949152542372882,True,90.0,0.1977420000184793,False,True,True,False,True,random comparison did not pass adjusted inference; graph control did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|graphsage_trained|knn_mean_distance|Process Resource Consumption Profile,intrinsic,graphsage_trained,knn_mean_distance,Process Resource Consumption Profile,Explore,0.038280731264662915,0.6666666666666666,0.02,0.0036407766990291263,5.493333333333333,0.7699115044247787,True,29.0,0.1908568000071682,False,True,True,False,True,random comparison did not pass adjusted inference; graph control did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|graphsage_trained|knn_mean_distance|TCP Communication Volume and Directionality,intrinsic,graphsage_trained,knn_mean_distance,TCP Communication Volume and Directionality,Explore,0.011084856775691251,0.0,0.0,0.0036407766990291263,0.0,0.9230769230769231,True,174.0,0.16350530000636354,False,False,True,False,True,random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence; graph control did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|node2vec|hdbscan_rare_cluster|__none__,intrinsic,node2vec,hdbscan_rare_cluster,,Abstain,0.0036407766990291263,0.0,0.0,0.0036407766990291263,0.0,0.5267175572519084,True,338.0,0.5834374999976717,False,False,True,False,True,random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence; graph control did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|node2vec|isolation_forest|__none__,intrinsic,node2vec,isolation_forest,,Explore,0.013042102966113288,0.0,0.0,0.0036407766990291263,0.0,0.3422818791946309,True,106.0,1.1814115999732167,False,False,False,False,True,random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence; median top-100 Jaccard is below 0.50; graph control did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|node2vec|knn_mean_distance|__none__,intrinsic,node2vec,knn_mean_distance,,Explore,0.022121370202679323,0.3333333333333333,0.01,0.0036407766990291263,2.7466666666666666,0.19047619047619047,True,41.0,0.20332800000323914,False,True,False,False,True,random comparison did not pass adjusted inference; median top-100 Jaccard is below 0.50; graph control did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|raw_session|hdbscan_rare_cluster|Local State Modification and Data Access,intrinsic,raw_session,hdbscan_rare_cluster,Local State Modification and Data Access,Abstain,,,,0.0036407766990291263,,,False,,,False,False,True,True,True,valid abstention; random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence
acme_process_telemetry,acme_selection,intrinsic|observed|raw_session|hdbscan_rare_cluster|Process Resource Consumption Profile,intrinsic,raw_session,hdbscan_rare_cluster,Process Resource Consumption Profile,Abstain,,,,0.0036407766990291263,,,False,,,False,False,True,True,True,valid abstention; random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence
acme_process_telemetry,acme_selection,intrinsic|observed|raw_session|hdbscan_rare_cluster|TCP Communication Volume and Directionality,intrinsic,raw_session,hdbscan_rare_cluster,TCP Communication Volume and Directionality,Explore,0.004676795696213172,0.0,0.0,0.0036407766990291263,0.0,1.0,False,355.0,0.06528189999517053,False,False,True,True,True,random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence
acme_process_telemetry,acme_selection,intrinsic|observed|raw_session|isolation_forest|Local State Modification and Data Access,intrinsic,raw_session,isolation_forest,Local State Modification and Data Access,Explore,0.016701607267645004,0.6666666666666666,0.02,0.0036407766990291263,5.493333333333333,0.8518518518518519,True,62.0,1.0610087000241037,False,True,True,True,True,random comparison did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|raw_session|isolation_forest|Process Resource Consumption Profile,intrinsic,raw_session,isolation_forest,Process Resource Consumption Profile,Explore,0.012033018335539342,0.3333333333333333,0.01,0.0036407766990291263,2.7466666666666666,0.8867924528301887,True,94.0,1.1298160999431275,False,True,True,True,True,random comparison did not pass adjusted inference
acme_process_telemetry,acme_selection,intrinsic|observed|raw_session|isolation_forest|TCP Communication Volume and Directionality,intrinsic,raw_session,isolation_forest,TCP Communication Volume and Directionality,Explore,0.004632395651813128,0.0,0.0,0.0036407766990291263,0.0,0.9607843137254902,True,360.0,1.0656039000023156,False,False,True,True,True,random comparison did not pass adjusted inference; Precision@100 lift is below 2x prevalence
